Step,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_212645 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_202254 - best_value,DeepEnsemble_maxsat60_std_20250514_201731 - best_value,DeepEnsemble_maxsat60_std_20250514_182748 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_182341 - best_value,maxsat60_mlp_20250514_171313 - best_value,maxsat60_mlp_20250514_161204 - best_value,DeepEnsemble_maxsat60_std_20250514_150405 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_144328 - best_value,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_122241 - best_value,CSV_BLOB_maxsat60_20250514_104547 - best_value,CSV_BLOB_maxsat60_20250514_215952 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_215952 - best_value
59,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
60,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
61,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
62,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
63,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
64,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
65,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
66,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
67,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
68,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
69,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,,-189.1309509,,-192.3918152
70,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
71,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,,-189.1309509,,-192.3918152
72,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
73,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,,-189.1309509,,-192.3918152
74,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
75,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,,-189.1309509,,-192.3918152
76,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
77,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,,-189.1309509,,-192.3918152
78,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
79,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,,-189.1309509,,-192.3918152
80,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
81,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,,-189.1309509,,-192.3918152
82,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
